Unique ID,Agency Name,Bureau Name,Program Name,Category,Subcategory,Project Name,City,County,State,Funding Amount Excluding Loans,Funding Source,Program Type,Project on Map,Historic ID,city,Place_Name,Average Household Size_(Total),Median household income,Median house value,White,Black_or_African_American,Asian,Hispanic or Latino,American_Indian_and_Alaska_Native,Total_Population
,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,"Town of Abington, MA Planning and Demonstration Activities",Abington,Plymouth,Massachusetts,301804.0,BIL,Discretionary,,,abington,Abington,2.55,99381,357300,14856,331,599,430,0,16436
27034,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Andover,Essex,Massachusetts,76430.0,BIL,Both,N,A-7075,andover,Andover,2.15,95600,564200,7756,232,708,220,11,8914
48938,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,Andover,Essex,Massachusetts,5000000.0,BIL,Discretionary,Y,,andover,Andover,2.15,95600,564200,7756,232,708,220,11,8914
40740,Environmental Protection Agency,Office of Environmental Justice and External Civil Rights,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program,Environmental Remediation,Environmental Remediation,Environmental and Climate Justice Block Grants: Environmental Justice Collaborative Problem-Solving (EJCPS) Cooperative Agreement Program - Mystic River Watershed Association,Arlington,Middlesex,Massachusetts,500000.0,IRA,Discretionary,Y,IRA-4894,arlington,Arlington,2.36,108389,642200,36090,1403,5567,2226,45,45304
27035,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Arlington,Middlesex,Massachusetts,76470.0,BIL,Both,N,A-7076,arlington,Arlington,2.36,108389,642200,36090,1403,5567,2226,45,45304
48939,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,Arlington,Middlesex,Massachusetts,200000.0,BIL,Discretionary,Y,,arlington,Arlington,2.36,108389,642200,36090,1403,5567,2226,45,45304
18805,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Attleboro,Attleboro,Bristol,Massachusetts,80000.0,BIL,Formula,Y,P-20761,attleboro,Attleboro,2.51,74962,292900,39454,1992,1868,2952,24,44789
27036,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Attleboro,Bristol,Massachusetts,76560.0,BIL,Both,N,A-7077,attleboro,Attleboro,2.51,74962,292900,39454,1992,1868,2952,24,44789
18790,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Barnstable,Barnstable,Barnstable,Massachusetts,292928.0,BIL,Formula,Y,P-20746,barnstable,Barnstable,2.34,72733,380400,39852,2565,408,2636,155,44406
27032,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Barnstable,Barnstable,Massachusetts,81070.0,BIL,Both,N,A-7073,barnstable,Barnstable,2.34,72733,380400,39852,2565,408,2636,155,44406
27037,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Barnstable,Barnstable,Massachusetts,76690.0,BIL,Both,N,A-7078,barnstable,Barnstable,2.34,72733,380400,39852,2565,408,2636,155,44406
7983,Department of Transportation,DOT Office of the Secretary,Safe Streets and Roads for All,Transportation,Safety,Cape Cod Regional Safety Action Plan,Barnstable,Barnstable,Massachusetts,240000.0,BIL,Discretionary,Y,P-8200,barnstable,Barnstable,2.34,72733,380400,39852,2565,408,2636,155,44406
8878,Department of Transportation,DOT Office of the Secretary,Strengthening Mobility and Revolutionizing Transportation (SMART) Grants,Transportation,Public Transportation,Planning a Smart Microgrid that Generates and Distributes Reliable Power at Cape Cod Gateway Airport to Reduce Emissions and Increase Energy Independence While Supporting the Disadvantaged Community,Barnstable,Barnstable,Massachusetts,1950000.0,BIL,Discretionary,N,P-9131,barnstable,Barnstable,2.34,72733,380400,39852,2565,408,2636,155,44406
3973,Corps of Engineers - Civil Works,Corps of Engineers – Civil Works,Inland Flood Risk Management Projects,Resilience,Resilience,"Barre Falls Dam, MA",Barre,Worcester,Massachusetts,756000.0,BIL,Discretionary,Y,P-3975,barre,Barre,1.92,50268,192800,986,0,0,0,0,986
44978,Environmental Protection Agency,State and Tribal Assistance Grants,Drinking Water State Revolving Fund Lead Service Lines Replacement,Clean Water,Water,Bellingham,Bellingham,Norfolk,Massachusetts,131000.0,BIL,Formula,Y,,bellingham,Bellingham,2.24,87045,278300,4024,105,47,143,0,4383
241,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY22 - Beverly Regional - BVY,Beverly,Essex,Massachusetts,295000.0,BIL,Both,Y,P-241,beverly,Beverly,2.34,80586,437300,38559,887,903,2145,40,41885
20147,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY24 - Beverly Regional - BVY,Beverly,Essex,Massachusetts,294000.0,BIL,Both,Y,P-22259,beverly,Beverly,2.34,80586,437300,38559,887,903,2145,40,41885
10246,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY23 - Beverly Regional - BVY,Beverly,Essex,Massachusetts,292000.0,BIL,Both,Y,P-10499,beverly,Beverly,2.34,80586,437300,38559,887,903,2145,40,41885
27038,Department of Energy,Energy Efficiency and Renewable Energy,Energy Efficiency and Conservation Block Grant Program,"Clean Energy, Buildings, and Manufacturing",Clean Energy and Power,,Beverly,Essex,Massachusetts,76510.0,BIL,Both,N,A-7079,beverly,Beverly,2.34,80586,437300,38559,887,903,2145,40,41885
48940,Environmental Protection Agency,State and Tribal Assistance Grants,Clean School Bus Program,Transportation,"Electric Vehicles, Buses, and Ferries",Clean School Bus Rebate Program,Beverly,Essex,Massachusetts,1455000.0,BIL,Discretionary,Y,,beverly,Beverly,2.34,80586,437300,38559,887,903,2145,40,41885
15044,Federal Communications Commission,Federal Communications Commission,Affordable Connectivity Program - Outreach Grants,Broadband,Broadband,National Competitive Outreach Program Round 1: City of Boston,Boston,Suffolk,Massachusetts,250000.0,BIL,Discretionary,Y,P-16024,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
242,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY22 - General Edward Lawrence Logan International - BOS,Boston,Suffolk,Massachusetts,37648526.0,BIL,Both,Y,P-242,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
10247,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY23 - General Edward Lawrence Logan International - BOS,Boston,Suffolk,Massachusetts,37484404.0,BIL,Both,Y,P-10500,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
20148,Department of Transportation,Federal Aviation Administration,Airport Infrastructure Grants,Transportation,Airports and Federal Aviation Administration Facilities,FY24 - General Edward Lawrence Logan International - BOS,Boston,Suffolk,Massachusetts,36087065.0,BIL,Both,Y,P-22260,boston,Boston,2.36,71115,532700,361455,172651,66207,135757,2017,684379
